epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,4.809762195160646,0.014629049111807733,0.006840570829808712,0.011649683117866516,0.005942888092249632,4.825083018895408,0.02464332036316472,0.01141628623008728,0.021574731916189194,0.0067543694749474525
2,4.625058278668761,0.024381748519679555,0.017034804448485374,0.021744469180703163,0.014554362744092941,4.647935613120112,0.029182879377431907,0.008918527513742447,0.026217784732580185,0.010332037694752216
3,4.473131689299527,0.03733890630442355,0.024906545877456665,0.034029558300971985,0.02478005550801754,4.518869142742627,0.037937743190661476,0.031907372176647186,0.03535633906722069,0.018443843349814415
4,4.3554637375462555,0.05043538836642285,0.033869076520204544,0.04672880098223686,0.0354871042072773,4.496507336657335,0.04993514915693904,0.02877899631857872,0.04746135696768761,0.02869114838540554
5,4.259522901366954,0.06074538488331592,0.046601857990026474,0.05715540796518326,0.044466614723205566,4.325458002152301,0.0654993514915694,0.04117535054683685,0.0615052804350853,0.03917673975229263
6,4.157815828492773,0.06903517938000697,0.05323988199234009,0.06438373029232025,0.05156196653842926,4.249118281091079,0.07555123216601815,0.057327039539813995,0.06998304277658463,0.051936980336904526
