experiment,architecture,pretrained,optimizer,accuracy,precision,recall,f1,loss
pretrained_adam,ManualRegNetY400MF,True,adam,0.7771410378860235,0.7964727282524109,0.7731272578239441,0.7722892761230469,0.6994981156606956
pretrained_radam,ManualRegNetY400MF,True,radam,0.766634829672079,0.7762447595596313,0.7619174122810364,0.7604381442070007,0.752879436533757
scratch_adam,ManualRegNetY400MF,False,adam,0.0795924864692773,0.0627274140715599,0.07527045905590057,0.05467012897133827,4.112482659037195
